片名,上映日期,票房(万元),平均票价,场均人次
你好，李焕英,2021-02-12,541320,44.756565,24
唐人街探案3,2021-02-12,452356,47.60254,29
熊出没·狂野大陆,2021-02-12,59531,43.313114,18
人潮汹涌,2021-02-12,76237,41.317425,10
刺杀小说家,2021-02-12,103520,47.265385,16
哥斯拉大战金刚,2021-03-26,123265,37.44387,9
我的姐姐,2021-04-02,86025,36.802353,9
你的婚礼,2021-04-30,82278,37.590664,14
悬崖之上,2021-04-30,119152,38.56635,12
速度与激情9,2021-05-21,139226,39.293274,13
1921,2021-07-01,50476,34.856956,8
中国医生,2021-07-09,132886,36.341267,11
白蛇2：青蛇劫起,2021-07-23,58026,39.02599,7
怒火·重案,2021-07-30,132936,38.70422,8
失控玩家,2021-08-27,61258,38.8606,7
长津湖,2021-09-30,577534,46.383896,22
我和我的父辈,2021-09-30,147727,43.4587,16
扬名立万,2021-11-11,92669,38.033257,7
误杀2,2021-12-17,112143,39.257664,9
反贪风暴5：最终章,2021-12-31,62895,40.751606,9
穿过寒冬拥抱你,2021-12-31,93685,42.4282,10
狙击手,2022-02-01,60807,44.773643,7
奇迹·笨小孩,2022-02-01,137934,46.25873,11
四海,2022-02-01,54279,53.10474,17
长津湖之水门桥,2022-02-01,406745,49.286682,19
熊出没·重返地球,2022-02-01,97772,46.636467,16
这个杀手不太冷静,2022-02-01,262800,48.19243,14
侏罗纪世界3,2022-06-10,105944,35.558052,8
人生大事,2022-06-24,171259,40.256683,10
神探大战,2022-07-08,71215,37.893658,8
独行月球,2022-07-29,310310,41.605843,12
明日战记,2022-08-05,67947,41.25766,7
新神榜：杨戬,2022-08-19,55563,42.115513,5
哥，你好,2022-09-09,54800,41.6395,4
万里归途,2022-09-30,159325,41.96201,8
阿凡达：水之道,2022-12-16,169804,50.156097,8
无名,2023-01-22,93143,52.474125,17
熊出没·伴我“熊芯”,2023-01-22,149524,46.30252,19
满江红,2023-01-22,454435,49.51212,24
流浪地球2,2023-01-22,404375,50.772953,21
深海,2023-01-22,91953,46.549366,11
保你平安,2023-03-10,70078,42.164967,6
铃芽之旅,2023-03-24,80790,33.219936,9
灌篮高手,2023-04-20,66351,36.30264,9
长空之王,2023-04-28,85059,41.857983,10
人生路不熟,2023-04-28,118486,41.487186,9
银河护卫队3,2023-05-05,60619,39.27044,8
速度与激情10,2023-05-17,98476,37.62571,9
变形金刚：超能勇士崛起,2023-06-09,65570,37.40332,9
消失的她,2023-06-22,352387,41.529163,21
八角笼中,2023-07-06,220739,40.71143,18
长安三万里,2023-07-08,182441,41.316296,19
封神第一部,2023-07-20,263460,43.417812,16
热烈,2023-07-28,91331,41.39644,15
巨齿鲨2：深渊,2023-08-04,85136,42.33687,14
孤注一掷,2023-08-08,384984,41.41531,18
学爸,2023-08-18,61436,40.663986,10
前任4：英年早婚,2023-09-28,101229,42.32929,10
坚如磐石,2023-09-28,135163,42.90325,10
志愿军：雄兵出击,2023-09-28,86891,42.227333,9
莫斯科行动,2023-09-29,66413,42.59532,9
拯救嫌疑人,2023-11-01,56954,41.7331,5
涉过愤怒的海,2023-11-25,54926,42.31138,8
三大队,2023-12-15,70586,42.258663,8
年会不能停！,2023-12-29,129270,39.3491,8
一闪一闪亮星星,2023-12-30,70239,41.99999,13
金手指,2023-12-30,57441,40.460083,7
飞驰人生2,2024-02-10,339865,48.0397,19
热辣滚烫,2024-02-10,346055,48.035583,22
熊出没·逆转时空,2024-02-10,200667,46.0126,22
第二十条,2024-02-10,245473,46.338207,16
周处除三害,2024-03-01,66573,39.486576,7
哥斯拉大战金刚2：帝国崛起,2024-03-29,95693,42.801792,7
你想活出怎样的人生,2024-04-03,79116,38.8863,7
九龙城寨之围城,2024-05-01,68500,41.041557,7
末路狂花钱,2024-05-01,78180,40.081097,7
维和防暴队,2024-05-01,51172,41.85894,8
云边有个小卖部,2024-06-22,49868,40.519386,6
默杀,2024-07-03,135129,41.193733,10
抓娃娃,2024-07-16,332752,41.382668,14
异形：夺命舰,2024-08-16,78636,40.556637,7
志愿军：存亡之战,2024-09-30,120550,41.34737,10
毒液：最后一舞,2024-10-23,68310,41.33156,6
好东西,2024-11-22,64896,42.159836,6
