片名,上映日期,票房(万元),平均票价,场均人次
碟中谍4,2012-01-28,67211,35.086987,43
复仇者联盟,2012-05-05,56827,41.705013,33
黑衣人3,2012-05-25,50345,40.718327,28
画皮2,2012-06-28,70202,41.05247,37
少年派的奇幻漂流,2012-11-22,57288,39.428986,38
人再囧途之泰囧,2012-12-12,127096,32.42341,45
十二生肖,2012-12-20,88176,40.26582,37
西游·降魔篇,2013-02-10,124695,40.226612,41
北京遇上西雅图,2013-03-21,52013,31.550077,31
致我们终将逝去的青春,2013-04-26,71902,31.97473,36
钢铁侠3,2013-05-01,75486,41.834854,33
中国合伙人,2013-05-17,54065,32.14557,27
小时代,2013-06-27,48432,31.816536,32
环太平洋,2013-07-31,69540,40.411037,38
狄仁杰之神都龙王,2013-09-28,60059,40.039875,30
私人订制,2013-12-19,71347,35.469856,30
警察故事2013,2013-12-24,53406,39.545963,25
澳门风云,2014-01-31,52471,32.365917,31
爸爸去哪儿,2014-01-31,69652,31.801163,40
西游记之大闹天宫,2014-01-31,104499,41.9303,40
美国队长2,2014-04-04,71898,39.05371,29
超凡蜘蛛侠2,2014-05-04,58538,38.662636,23
X战警：逆转未来,2014-05-23,72293,37.240368,29
变形金刚4：绝迹重生,2014-06-27,197652,41.633636,50
分手大师,2014-06-27,66509,33.37043,34
小时代3：刺金时代,2014-07-17,52098,31.580196,33
后会无期,2014-07-24,62875,31.956974,34
猩球崛起2：黎明之战,2014-08-29,70732,36.77872,28
心花路放,2014-09-30,116958,34.440758,36
银河护卫队,2014-10-10,59640,38.591774,23
星际穿越,2014-11-12,87697,35.246487,23
匆匆那年,2014-12-05,58861,34.74073,24
一步之遥,2014-12-18,51376,42.4509,25
智取威虎山,2014-12-23,88348,41.35338,28
霍比特人3：五军之战,2015-01-23,76129,45.45982,30
狼图腾,2015-02-19,70075,39.397194,34
澳门风云2,2015-02-19,97263,39.20782,36
天将雄师,2015-02-19,74201,40.640205,38
超能陆战队,2015-02-28,52625,36.70751,25
战狼,2015-04-02,54469,34.260075,25
速度与激情7,2015-04-12,242313,38.856926,42
左耳,2015-04-24,48442,33.99673,25
复仇者联盟2：奥创纪元,2015-05-12,146118,39.999035,29
哆啦A梦：伴我同行,2015-05-28,52916,34.66687,22
末日崩塌,2015-06-02,62858,37.411068,24
侏罗纪世界,2015-06-10,141821,38.28785,33
杀破狼2,2015-06-18,55966,36.174625,25
小时代4：灵魂尽头,2015-07-09,48469,30.987238,33
西游记之大圣归来,2015-07-10,95462,34.659386,34
捉妖记,2015-07-16,243623,37.16108,41
煎饼侠,2015-07-17,116018,32.674587,39
滚蛋吧！肿瘤君,2015-08-13,51045,33.640533,25
终结者：创世纪,2015-08-23,72240,36.772095,24
碟中谍5：神秘国度,2015-09-08,86806,32.779945,26
港囧,2015-09-25,161135,32.852345,40
夏洛特烦恼,2015-09-30,144475,32.15511,33
九层妖塔,2015-09-30,68132,34.347466,30
蚁人,2015-10-16,67035,36.10703,22
007：幽灵党,2015-11-13,54113,31.537039,28
火星救援,2015-11-25,58571,36.772423,24
寻龙诀,2015-12-18,167988,36.200695,40
老炮儿,2015-12-24,90116,31.459543,38
恶棍天使,2015-12-24,64854,29.965164,40
唐人街探案,2015-12-31,82334,31.746136,33
星球大战：原力觉醒,2016-01-09,82426,37.234848,24
功夫熊猫3,2016-01-29,100054,35.606182,25
西游记之孙悟空三打白骨精,2016-02-08,119865,36.662884,35
澳门风云3,2016-02-08,111640,35.636642,36
美人鱼,2016-02-08,339120,36.668804,43
疯狂动物城,2016-03-04,153190,33.58069,28
叶问3,2016-03-04,76948,38.843933,23
蝙蝠侠大战超人：正义黎明,2016-03-25,61826,35.59753,23
奇幻森林,2016-04-15,97684,33.531403,24
北京遇上西雅图之不二情书,2016-04-29,78538,33.51533,24
美国队长3,2016-05-06,124397,34.987694,25
愤怒的小鸟,2016-05-20,51297,31.765776,16
X战警：天启,2016-06-03,80091,34.448685,23
魔兽,2016-06-08,146887,37.072163,25
惊天魔盗团2,2016-06-24,63771,33.112507,27
独立日：卷土重来,2016-06-24,50219,35.726177,24
寒战2,2016-07-08,67661,36.547977,27
大鱼海棠,2016-07-08,57378,32.934837,23
绝地逃亡,2016-07-21,88769,34.733532,25
盗墓笔记,2016-08-05,100310,35.231415,27
使徒行者,2016-08-11,60538,29.397415,24
从你的全世界路过,2016-09-29,81334,31.217215,22
湄公河行动,2016-09-30,118685,30.444935,24
奇异博士,2016-11-04,75020,34.8847,18
神奇动物在哪里,2016-11-25,59085,34.902664,21
你的名字。,2016-12-02,71324,29.357342,16
长城,2016-12-16,117311,35.158714,21
铁道飞虎,2016-12-23,69929,36.7024,18
情圣,2016-12-30,65790,31.282188,18
乘风破浪,2017-01-28,104605,36.31127,27
西游伏妖篇,2017-01-28,165207,39.149124,36
熊出没·奇幻空间,2017-01-28,52114,34.320858,27
大闹天竺,2017-01-28,75611,35.56586,31
功夫瑜伽,2017-01-28,174868,38.17402,33
极限特工：终极回归,2017-02-10,112517,36.20821,23
生化危机：终章,2017-02-24,110949,34.683666,20
一条狗的使命,2017-03-03,60777,29.967405,15
金刚狼3：殊死一战,2017-03-03,73008,32.372185,16
美女与野兽,2017-03-17,59040,35.080605,16
金刚：骷髅岛,2017-03-24,115892,35.14932,20
速度与激情8,2017-04-14,267093,36.648827,30
摔跤吧！爸爸,2017-05-05,129932,30.073994,22
银河护卫队2,2017-05-05,68615,37.273075,17
加勒比海盗5：死无对证,2017-05-26,118007,35.81335,22
神奇女侠,2017-06-02,61014,36.301155,16
新木乃伊,2017-06-09,62563,35.19523,16
变形金刚5：最后的骑士,2017-06-23,155126,36.93777,23
神偷奶爸3,2017-07-07,103791,34.058384,20
悟空传,2017-07-13,69685,35.916782,17
战狼2,2017-07-27,569454,35.594273,37
三生三世十里桃花,2017-08-03,53501,35.14003,24
杀破狼·贪狼,2017-08-17,52291,32.32158,18
蜘蛛侠：英雄归来,2017-09-08,77477,35.15436,16
猩球崛起3：终极之战,2017-09-15,74051,34.9678,16
羞羞的铁拳,2017-09-30,221365,33.400208,25
追龙,2017-09-30,57726,32.49085,20
英伦对决,2017-09-30,53983,37.63522,19
雷神3：诸神黄昏,2017-11-03,74371,35.466118,15
正义联盟,2017-11-17,69058,35.48468,13
寻梦环游记,2017-11-24,123008,33.49183,17
芳华,2017-12-15,142299,34.23472,25
妖猫传,2017-12-22,53026,35.54714,23
前任3：再见前任,2017-12-29,194190,35.06071,29
勇敢者游戏：决战丛林,2018-01-12,49196,34.19796,18
无问西东,2018-01-12,75432,31.431118,18
神秘巨星,2018-01-19,74708,30.02213,17
唐人街探案2,2018-02-16,339777,38.757133,38
西游记女儿国,2018-02-16,72741,39.74682,33
熊出没·变形记,2018-02-16,60552,35.826714,29
红海行动,2018-02-16,365228,39.27593,32
捉妖记2,2018-02-16,223723,38.314194,44
黑豹,2018-03-09,66260,36.069355,17
古墓丽影：源起之战,2018-03-16,49748,35.066303,14
环太平洋：雷霆再起,2018-03-23,63323,35.434902,13
头号玩家,2018-03-30,139668,36.40283,18
狂暴巨兽,2018-04-13,100397,34.81579,13
后来的我们,2018-04-28,136155,33.90266,21
复仇者联盟3：无限战争,2018-05-11,239051,38.24297,19
超时空同居,2018-05-18,90307,33.010834,12
侏罗纪世界2,2018-06-15,169591,35.697067,19
动物世界,2018-06-29,50967,36.847546,13
我不是药神,2018-07-05,310002,34.814323,26
邪不压正,2018-07-13,58352,35.564896,16
摩天营救,2018-07-20,66981,35.184887,18
西虹市首富,2018-07-27,254766,35.06266,28
狄仁杰之四大天王,2018-07-27,60636,39.113647,18
巨齿鲨,2018-08-10,105374,38.287125,21
爱情公寓,2018-08-10,55545,35.352978,27
一出好戏,2018-08-10,135507,34.711494,25
蚁人2：黄蜂女现身,2018-08-24,83157,36.05231,15
碟中谍6：全面瓦解,2018-08-31,124523,36.820988,15
无双,2018-09-30,127378,35.56216,15
