period_id,holiday_name,is_holiday
20210101,元旦,1
20210102,元旦,1
20210103,元旦,1
20210207,春节,0
20210211,春节,1
20210212,春节,1
20210213,春节,1
20210214,春节,1
20210215,春节,1
20210216,春节,1
20210217,春节,1
20210220,春节,0
20210403,清明节,1
20210404,清明节,1
20210405,清明节,1
20210425,劳动节,0
20210501,劳动节,1
20210502,劳动节,1
20210503,劳动节,1
20210504,劳动节,1
20210505,劳动节,1
20210508,劳动节,0
20210612,端午节,1
20210613,端午节,1
20210614,端午节,1
20210918,中秋节,0
20210919,中秋节,1
20210920,中秋节,1
20210921,中秋节,1
20210926,国庆节,0
20211001,国庆节,1
20211002,国庆节,1
20211003,国庆节,1
20211004,国庆节,1
20211005,国庆节,1
20211006,国庆节,1
20211007,国庆节,1
20211009,国庆节,0
20220101,元旦,1
20220102,元旦,1
20220103,元旦,1
20220129,春节,0
20220130,春节,0
20220131,春节,1
20220201,春节,1
20220202,春节,1
20220203,春节,1
20220204,春节,1
20220205,春节,1
20220206,春节,1
20220402,清明节,0
20220403,清明节,1
20220404,清明节,1
20220405,清明节,1
20220424,劳动节,0
20220430,劳动节,1
20220501,劳动节,1
20220502,劳动节,1
20220503,劳动节,1
20220504,劳动节,1
20220507,劳动节,0
20220603,端午节,1
20220604,端午节,1
20220605,端午节,1
20220910,中秋节,1
20220911,中秋节,1
20220912,中秋节,1
20221001,国庆节,1
20221002,国庆节,1
20221003,国庆节,1
20221004,国庆节,1
20221005,国庆节,1
20221006,国庆节,1
20221007,国庆节,1
20221008,国庆节,0
20221009,国庆节,0
20221231,元旦,1
20230101,元旦,1
20230102,元旦,1
20230121,春节,1
20230122,春节,1
20230123,春节,1
20230124,春节,1
20230125,春节,1
20230126,春节,1
20230127,春节,1
20230128,春节,0
20230129,春节,0
20230405,清明节,1
20230423,劳动节,0
20230429,劳动节,1
20230430,劳动节,1
20230501,劳动节,1
20230502,劳动节,1
20230503,劳动节,1
20230506,劳动节,0
20230622,端午节,1
20230623,端午节,1
20230624,端午节,1
20230625,端午节,0
20230929,中秋/国庆节,1
20230930,中秋/国庆节,1
20231001,中秋/国庆节,1
20231002,中秋/国庆节,1
20231003,中秋/国庆节,1
20231004,中秋/国庆节,1
20231005,中秋/国庆节,1
20231006,中秋/国庆节,1
20231007,中秋/国庆节,0
20231008,中秋/国庆节,0
20231230,元旦,1
20231231,元旦,1
20240101,元旦,1
20240204,春节,0
20240210,春节,1
20240211,春节,1
20240212,春节,1
20240213,春节,1
20240214,春节,1
20240215,春节,1
20240216,春节,1
20240217,春节,1
20240218,春节,0
20240404,清明节,1
20240405,清明节,1
20240406,清明节,1
20240407,清明节,0
20240428,劳动节,0
20240501,劳动节,1
20240502,劳动节,1
20240503,劳动节,1
20240504,劳动节,1
20240505,劳动节,1
20240511,劳动节,0
20240608,端午节,1
20240609,端午节,1
20240610,端午节,1
20240914,中秋节,0
20240915,中秋节,1
20240916,中秋节,1
20240917,中秋节,1
20240929,国庆节,0
20241001,国庆节,1
20241002,国庆节,1
20241003,国庆节,1
20241004,国庆节,1
20241005,国庆节,1
20241006,国庆节,1
20241007,国庆节,1
20241012,国庆节,0
